Player,PTS,AST,REB,STL,BLK
Russell Westbrook,10.59999999999999,3.7889999999999953,5.272999999999997,1.236000000000001,0.4789999999999999
James Harden,20.97900000000002,8.394000000000004,4.889,1.05,0.8920000000000001
LeBron James,28.304000000000016,8.658999999999992,7.901999999999996,2.0040000000000022,0.9730000000000001
Anthony Davis,25.562,2.9270000000000005,10.003000000000007,1.1330000000000002,1.8419999999999999
DeMarcus Cousins,15.179999999999998,1.9959999999999989,5.587999999999995,0.8479999999999999,0.5199999999999999
Stephen Curry,26.769000000000027,5.370000000000004,4.8340000000000005,1.0020000000000004,0.36199999999999943
LaMarcus Aldridge,18.73000000000002,2.293000000000003,7.61199999999999,0.676000000000001,1.4599999999999982
Blake Griffin,13.713,3.0150000000000046,6.628999999999998,0.8369999999999993,0.47999999999999976
Kyrie Irving,22.488000000000003,5.009999999999999,3.7469999999999946,1.1029999999999998,0.33400000000000035
Klay Thompson,18.388000000000012,2.3020000000000023,3.5520000000000023,0.6770000000000005,0.512
Dwyane Wade,16.026999999999997,4.222999999999996,4.142,0.8769999999999989,0.567
Rudy Gay,11.804999999999996,1.6430000000000016,5.314000000000004,0.6730000000000007,0.5860000000000007
Damian Lillard,24.4,6.671999999999997,4.3509999999999955,0.9969999999999999,0.24699999999999975
DeMar DeRozan,23.561999999999998,5.228000000000005,4.285000000000004,1.0759999999999987,0.5000000000000003
Jimmy Butler,20.441999999999993,5.099000000000002,5.557000000000001,1.4369999999999987,0.3710000000000003
Nikola Vucevic,18.370999999999995,3.111000000000003,10.510999999999997,0.735000000000001,0.8289999999999993
Gordon Hayward,3.3300000000000005,1.1400000000000017,2.627000000000002,0.3100000000000001,0.16199999999999992
Chris Paul,11.191000000000017,7.239999999999993,4.062999999999995,1.307000000000001,0.15299999999999975
Monta Ellis,7.736999999999998,2.040000000000002,2.242000000000001,0.8009999999999999,0.31600000000000034
Pau Gasol,7.150000000000003,2.6600000000000033,5.815000000000002,0.1290000000000001,0.48000000000000026
Victor Oladipo,11.750999999999998,2.2069999999999967,3.8369999999999975,1.3489999999999998,0.3300000000000005
Kyle Lowry,7.6060000000000025,4.122999999999999,3.490999999999999,1.011,0.6370000000000008
John Wall,23.445,10.376000000000007,4.186999999999993,1.8340000000000005,0.866
Marc Gasol,6.134999999999999,2.8950000000000005,4.355000000000001,0.7399999999999991,0.8309999999999986
Kemba Walker,19.870999999999984,5.096000000000009,3.9810000000000025,0.9540000000000012,0.4149999999999995
Dirk Nowitzki,14.667,1.6419999999999972,5.723999999999998,0.5890000000000006,0.6210000000000009
Brook Lopez,17.80300000000001,1.7040000000000008,5.020000000000003,0.30899999999999994,1.4680000000000009
Tobias Harris,10.889999999999997,1.6409999999999993,7.180000000000007,0.34699999999999986,0.499
Eric Bledsoe,12.782000000000018,3.9510000000000036,3.543999999999997,0.877999999999999,0.4099999999999994
Andrew Wiggins,14.526000000000021,1.8199999999999985,4.702000000000001,0.6730000000000002,0.6510000000000008
Paul Millsap,7.155999999999993,1.6929999999999998,4.177999999999994,0.44999999999999973,0.6690000000000008
Al Jefferson,14.025999999999977,1.2319999999999987,6.606000000000007,0.622000000000001,0.5979999999999991
Tyreke Evans,11.62400000000001,3.99,3.9560000000000004,1.0349999999999984,0.3460000000000001
Kawhi Leonard,23.912000000000003,3.7290000000000028,6.203000000000008,1.6649999999999974,0.8450000000000005
Isaiah Thomas,22.66,6.496000000000001,3.064000000000001,0.8840000000000005,0.16599999999999995
Kevin Love,8.305,1.6090000000000009,6.208000000000001,0.40899999999999975,0.3019999999999995
JJ Redick,14.671000000000003,1.4540000000000008,2.0499999999999976,0.5020000000000006,0.2179999999999999
Goran Dragic,8.56499999999999,2.792999999999999,1.9670000000000025,0.389,0.1279999999999998
Zach Randolph,14.604,2.075999999999997,7.440000000000009,0.6940000000000007,0.17799999999999977
Derrick Favors,4.515999999999994,0.45599999999999974,4.718999999999995,0.33199999999999974,0.8940000000000006
Wesley Matthews,7.079000000000003,1.2350000000000019,2.6849999999999983,0.781999999999999,0.2700000000000003
Jeff Teague,9.33100000000001,3.7409999999999983,2.018999999999998,0.6720000000000007,0.23499999999999965
Greg Monroe,13.275000000000011,2.164000000000001,7.635000000000004,1.091999999999999,0.5689999999999997
Mike Conley,13.695000000000014,5.682999999999998,2.8529999999999984,1.165999999999999,0.19599999999999998
Jamal Crawford,8.914999999999985,3.201000000000002,1.3619999999999992,0.5390000000000001,0.17199999999999974
Chandler Parsons,15.700000000000028,2.400000000000004,4.8999999999999915,1.0,0.3000000000000005
Lou Williams,13.052999999999988,2.2810000000000024,2.2569999999999992,0.9109999999999999,0.10999999999999986
Enes Freedom,4.693999999999999,0.2040000000000001,4.150000000000003,0.12200000000000007,0.47599999999999965
Markieff Morris,7.050000000000003,1.185000000000001,4.031999999999997,0.39799999999999963,0.28600000000000053
Bradley Beal,18.525999999999993,4.416,3.1750000000000047,0.9119999999999987,0.3300000000000003
Ty Lawson,6.403999999999997,3.4380000000000024,2.420999999999998,0.7169999999999999,0.037000000000000026
Al Horford,8.970000000000013,2.308999999999997,6.863999999999988,0.6550000000000008,0.9820000000000009
Jeff Green,6.7360000000000015,0.9840000000000013,2.5010000000000012,0.27599999999999975,0.3969999999999994
Michael Carter-Williams,6.476000000000007,2.424000000000002,3.4740000000000015,0.6240000000000007,0.13599999999999995
